coin,Ticker,Consensus,Market Cap,Power Consumption,Annual Energy Consumption,Carbon Emissions,average_liquidity,volatility
bitcoin,btc,PoW,"$ 1,684,005,058,263",18.8 GW,164.1 TWh,69.7 Mt,1164597458958.513,0.0209992446289018
dogecoin,doge,PoW,"$ 30,027,121,709",1.0 GW,8.8 TWh,3.7 Mt,49691159399.423744,0.0503781011667843
litecoin,ltc,PoW,"$ 9,487,745,426",0.4 GW,3.1 TWh,1.3 Mt,30283509094.968784,0.0504682029742326
bitcoin-cash,bch,PoW,"$ 6,121,863,769",0.1 GW,0.7 TWh,0.3 Mt,5204747041.301925,0.0391932264073996
filecoin,fil,PoS,"$ 2,032,216,000","25,488.1 kW","221,045,223.1 kWh","110,370,834.5 kg",4553069522.3752365,0.0551473988101888
bitcoin-cash-sv,bsv,PoW,"$ 682,408,571",0.0 GW,0.1 TWh,0.0 Mt,628258183.0938463,0.0408316706054882
siacoin,sc,PoW,"$ 204,281,935",0.0 GW,0.1 TWh,0.0 Mt,433213995.9862511,0.0441467334608516
dash,dash,PoW,"$ 305,724,430",0.0 GW,0.1 TWh,0.0 Mt,1194647690.1428118,0.0448002759273155
solana,sol,PoS,"$ 71,276,257,667","1,925.9 kW","16,839,920.7 kWh","5,226,440.1 kg",126956089645.37862,0.0466018211976261
tontoken,ton,PoS,"$ 8,098,045,985",715.9 kW,"6,117,282.9 kWh","1,789,224.8 kg",55673.62655130788,0.0905910245235211
ethereum,eth,PoS,"$ 262,408,446,486",690.8 kW,"6,042,204.6 kWh","1,916,906.6 kg",679143167028.8904,0.0375165929638035
tron,trx,PoS,"$ 19,838,520,315",416.2 kW,"3,573,940.3 kWh","1,353,136.9 kg",21307490806.10392,0.0297889586739469
avalanche-2,avax,PoS,"$ 8,836,869,675",374.7 kW,"3,304,933.4 kWh","1,233,997.1 kg",10994962992.390484,0.0511674032301868
near,near,PoS,"$ 3,725,039,408",349.5 kW,"3,051,978.0 kWh","1,239,086.0 kg",5835124837.493943,0.0535309245878072
algorand,algo,PoS,"$ 1,998,984,390",213.4 kW,"1,709,016.7 kWh","587,661.8 kg",3148591248.5942383,0.048839126430662
polkadot,dot,PoS,"$ 6,978,103,466",99.9 kW,"876,014.7 kWh","265,816.9 kg",7007940957.062494,0.0501077769548681
sui,sui,PoS,"$ 8,882,108,339",95.8 kW,"838,990.8 kWh","385,096.8 kg",31206855332.962406,0.0648075448986892
cosmos,atom,PoS,"$ 1,971,946,038",84.7 kW,"742,082.9 kWh","340,616.1 kg",3834458451.6056886,0.0507719842307121
cardano,ada,PoS,"$ 22,740,662,984",59.7 kW,"520,517.0 kWh","181,619.7 kg",22769089326.40798,0.049208471411176
constellation-staked-rpl,xrp,Other1,"$ 124,715,733,641",53.9 kW,"466,546.5 kWh","192,872.2 kg",0.0,
aptos,apt,PoS,"$ 3,749,534,435",42.6 kW,"370,784.5 kWh","140,932.0 kg",6872622702.439104,0.0570008130410771
tezos,xtz,PoS,"$ 767,706,212",28.4 kW,"248,699.0 kWh","75,360.2 kg",845264024.4579347,0.0455973174902071
injective-protocol,inj,PoS,"$ 1,245,985,339",14.8 kW,"128,915.4 kWh","59,172.1 kg",3173220730.118955,0.0571366768774176
vechain,vet,Other3,"$ 2,233,998,665",9.6 kW,"84,277.6 kWh","36,003.7 kg",1563610578.765391,0.0484284549716567
stellar,xlm,Other2,"$ 9,116,035,312",9.5 kW,"80,119.5 kWh","25,846.6 kg",7795587151.536921,0.0446972061993678
casper-network,cspr,PoS,"$ 155,281,719",6.7 kW,"58,906.2 kWh","17,357.2 kg",258576003.86085787,0.063105761155937
iota,iota,PoS,"$ 727,400,865",4.5 kW,"51,799.5 kWh","16,684.2 kg",837248046.1836319,0.052276716016045
celo,celo,PoS,"$ 214,281,412",2.9 kW,"26,147.8 kWh","9,210.1 kg",824929106.2783012,0.0435986280949673
chiliz,chz,PoS,"$ 465,099,222",1.0 kW,"8,733.0 kWh","4,008.4 kg",1905631652.177465,0.0530802151553904
binancecoin,bnb,PoS,"$ 88,166,138,135",0.7 kW,"9,552.0 kWh","3,185.8 kg",32472135000.672382,0.0381847196594092
bridged-usdc,usdc,Token,"$ 56,354,369,293",,"17,140.5 kWh","5,385.9 kg",446348097.2666085,0.0015068463344873
chainlink,link,Token,"$ 9,236,853,511",,328.5 kWh,104.2 kg,18547007831.26198,0.0490332249010975
leo-token,leo,Token,"$ 8,999,173,416",,4.8 kWh,1.5 kg,36342414.62308271,0.0237614390642714
shiba-inu,shib,Token,"$ 7,988,376,041",,502.1 kWh,159.3 kg,7624573935.856108,0.0487082648563562
uniswap,uni,Token,"$ 4,397,164,693",,"23,029.0 kWh","7,306.0 kg",7579728933.746339,0.0562905839198884
dai,dai,Token,"$ 3,283,174,663",,276.7 kWh,87.8 kg,5723241810.393471,0.0004443055692201
ondo-finance,ondo,Token,"$ 3,155,964,639",,315.0 kWh,99.9 kg,8425375918.157416,0.0530143839731677
aave,aave,Token,"$ 2,828,744,525",,"1,195.9 kWh",379.4 kg,10503138047.141594,0.0575121103989436
proof-of-liquidity,pol,PoS,"$ 2,320,049,509",,"138,512.7 kWh",57.0 t,106225.00123131822,0.0622806424868235
arbitrum,arb,PoS,"$ 1,803,782,469",,"2,244,754.8 kWh","1,030,337.1 kg",6359614091.837689,0.0569856720692364
optimism,op,PoS,"$ 1,684,245,428",,"226,468.8 kWh","99,892.4 kg",5518302997.570176,0.0646758333761716
quant-network,qnt,Token,"$ 1,342,369,449",,43.3 kWh,13.7 kg,1066507038.0701884,0.0545714341410115
the-graph,grt,Token,"$ 1,113,176,187",,45.7 kWh,14.5 kg,1526396628.3715603,0.0485673849195968
the-sandbox,sand,Token,"$ 760,671,104",,39.3 kWh,12.5 kg,2783810903.922544,0.0533085781275595
apecoin,ape,Token,"$ 483,512,999",,71.9 kWh,22.8 kg,2187406910.3402944,0.0646916212054894
zksync,zk,PoS,"$ 341,499,332",,"157,455.2 kWh","72,250.6 kg",1344675631.563741,0.0570982383355462
echelon-prime,prime,Token,"$ 263,211,804",,44.5 kWh,14.1 kg,226251241.0904934,0.0767832387972997
binance-usd,busd,Token,"$ 61,590,854",,11.5 kWh,3.6 kg,827850.3377659791,0.0235743517142005
decentraland,mana,Token,"$557,413,528",,44.8 kWh,14.2 kg,1583203257.4543667,0.0459911578987191
axie-infinity,axs,Token,"$ 580,272,215",,24.0 kWh,7.6 kg,1056525026.0394472,0.048049663286986
