name,ticker,consensus,market cap,power consumption,annual energy consumption,carbon emissions,average_liquidity,volatility,normalized energy,normalized carbon,raw environmental score,environmental score,ethical sentiment,ethical impact
leo-token,leo,Token,8999173416.0,,4800.0,1.5,36342414.62308271,0.0237614390642714,0.0,1.3590546875859672e-08,6.795273437929836e-09,0.0,0.34231999999999996,0.13153600543621877
binance-usd,busd,Token,61590854.0,,11500.0,3.6,827850.3377659791,0.0235743517142005,4.0828762950615346e-11,3.2617312502063216e-08,1.6329070632506917e-08,1.16871026227688e-08,0.33625000000000005,0.1327500130632565
basic-attention-token,bat,Token,233878780.0,,17600.0,5.5,488763674.19309306,0.0467167614987881,7.800121877132484e-11,4.983200521148547e-08,2.49550032151284e-08,2.2261290142461932e-08,0.5,0.10000001996400258
axie-infinity,axs,Token,580272215.0,,24000.0,7.6,1056525026.0394472,0.048049663286986,1.1700182815698725e-10,6.8858770837689e-08,3.448788633292299e-08,3.394727223487499e-08,0.33625000000000005,0.13275002759030907
the-sandbox,sand,Token,760671104.0,,39300.0,12.5,2783810903.922544,0.0533085781275595,2.1023765996958646e-10,1.132545572988306e-07,5.673239747940009e-08,6.121593332094026e-08,0.3634,0.127320045385918
quant-network,qnt,Token,1342369449.0,,43300.0,13.7,1066507038.0701884,0.0545714341410115,2.346130408356255e-10,1.2412699479951833e-07,6.218080392017697e-08,6.789491797986856e-08,0.34636666666666666,0.13072671641130978
echelon-prime,prime,Token,263211804.0,,44500.0,14.1,226251241.0904934,0.0767832387972997,2.419256550954372e-10,1.2775114063308092e-07,6.399653314408818e-08,7.012074818601989e-08,0.5,0.10000005119722652
decentraland,mana,Token,557413528.0,,44800.0,14.2,1583203257.4543667,0.0459911578987191,2.437538086603901e-10,1.2865717709147156e-07,6.445046545006597e-08,7.067720573755772e-08,0.5,0.10000005156037237
the-graph,grt,Token,1113176187.0,,45700.0,14.5,1526396628.3715603,0.0485673849195968,2.492382693552489e-10,1.313752864666435e-07,6.581226236799937e-08,7.234657839217122e-08,0.33785,0.13243005264980992
apecoin,ape,Token,483512999.0,,71900.0,22.8,2187406910.3402944,0.0646916212054894,4.0889701402780444e-10,2.0657631251306702e-07,1.0349260476354741e-07,1.1853741080135286e-07,0.5,0.10000008279408382
curve-dao-token,crv,Token,583965963.0,,104700.0,33.2,4065381214.329655,0.0672971763988876,6.087751371293243e-10,3.0080410418569414e-07,1.5070643966141174e-07,1.7641497232318475e-07,0.39189999999999997,0.12162012056515174
dai,dai,Token,3283174663.0,,276700.0,87.8,5723241810.393471,0.0004443055692201,1.6569165143690018e-09,7.955000104669862e-07,3.985784634906776e-07,4.802714232925647e-07,0.17570000000000002,0.1648603188627708
ondo-finance,ondo,Token,3155964639.0,,315000.0,99.9,8425375918.157416,0.0530143839731677,1.8903107861613255e-09,9.051304219322543e-07,4.535103663592078e-07,5.476102572310142e-07,0.5,0.1000003628082931
chainlink,link,Token,9236853511.0,,328500.0,104.2,18547007831.26198,0.0490332249010975,1.972577696584207e-09,9.44089989643052e-07,4.730312836698181e-07,5.715401730078523e-07,0.17570000000000002,0.16486037842502693
wrapped-bitcoin,wbtc,Token,10807797844.0,,328500.0,104.2,11793205731.808235,0.0205017266502331,1.972577696584207e-09,9.44089989643052e-07,4.730312836698181e-07,5.715401730078523e-07,0.45446666666666663,0.10910704509169362
proof-of-liquidity,pol,PoS,2320049509.0,,138512700.0,57.0,106225.00123131822,0.0622806424868235,8.440457038638113e-07,5.164407812826676e-07,6.802432425732394e-07,8.255530682839054e-07,0.40455,0.11909054419459407
shiba-inu,shib,Token,7988376041.0,,502100.0,159.3,7624573935.856108,0.0487082648563562,3.0304692261703e-09,1.4433160782162974e-06,7.231732737212339e-07,8.781792852450403e-07,0.5,0.10000057853861899
aave,aave,Token,2828744525.0,,1195900.0,379.4,10503138047.141594,0.0575121103989436,7.2583790373847665e-09,3.4375023231341063e-06,1.7223803510857456e-06,2.1030674820695336e-06,0.45446666666666663,0.10910804457094755
binancecoin,bnb,PoS,88166138135.0,0.7 kW,9552000.0,3185.8,32472135000.672382,0.0381847196594092,5.8179159051061914e-08,2.8864509491409165e-05,1.4461344325230111e-05,1.7719256523542453e-05,0.28273333333333334,0.14346490240879353
chiliz,chz,PoS,465099222.0,1.0 kW,8733000.0,4008.4,1905631652.177465,0.0530802151553904,5.3188299818740424e-08,3.631756539813061e-05,1.8185376848974677e-05,2.2284399811915297e-05,0.40455,0.1191045483014792
bridged-usdc,usdc,Token,56354369293.0,,17140500.0,5385.9,446348097.2666085,0.0015068463344873,1.0442230347654617e-07,4.879821761246174e-05,2.4451319957969143e-05,2.9965570141918088e-05,0.5,0.10001956105596638
uniswap,uni,Token,4397164693.0,,23029000.0,7306.0,7579728933.746339,0.0562905839198884,1.4030591103396386e-07,6.619502365002051e-05,3.316766478052724e-05,4.065059042896804e-05,0.4363666666666666,0.11275320079849112
celo,celo,PoS,214281412.0,2.9 kW,26147800.0,9210.1,824929106.2783012,0.0435986280949673,1.5931139549521447e-07,8.344686385423679e-05,4.1803087624866e-05,5.1236411682874635e-05,0.5,0.1000334424700999
iota,iota,PoS,727400865.0,4.5 kW,51799500.0,16684.2,837248046.1836319,0.052276716016045,3.156288848355577e-07,0.00015116493479081197,7.574028183782377e-05,9.283866767813313e-05,0.28273333333333334,0.1435139255588036
casper-network,cspr,PoS,155281719.0,6.7 kW,58906200.0,17357.2,258576003.86085787,0.063105761155937,3.5893601463572756e-07,0.00015726256015578103,7.881074808520838e-05,9.660263007428556e-05,0.5,0.10006304859846817
stellar,xlm,Other2,9116035312.0,9.5 kW,80119500.0,25846.6,7795587151.536921,0.0446972061993678,4.882065813671139e-07,0.0002341796192543964,0.0001173339129178,0.0001438266449724028,0.4317,0.11375386713033432
vechain,vet,Other3,2233998665.0,9.6 kW,84277600.0,36003.7,1563610578.765391,0.0484284549716567,5.135453991618831e-07,0.00032620664836959255,0.0001633600968843,0.00020024831247513627,0.5,0.10013068807750751
injective-protocol,inj,PoS,1245985339.0,14.8 kW,128915400.0,59172.1,3173220730.118955,0.0571366768774176,7.855612431674021e-07,0.0005361207991953708,0.0002684531802192,0.0003290777415904107,0.4317,0.11387476254417543
bitcoin-cash-sv,bsv,PoW,682408571.0,0.0 GW,100000000000.0,0.0,628258183.0938463,0.0408316706054882,0.0006093844924005183,0.0,0.0003046922462002,0.00037350177059263705,0.3634,0.12756375379696022
dash,dash,PoW,305724430.0,0.0 GW,100000000000.0,0.0,1194647690.1428118,0.0448002759273155,0.0006093844924005183,0.0,0.0003046922462002,0.00037350177059263705,0.40455,0.11933375379696022
siacoin,sc,PoW,204281935.0,0.0 GW,100000000000.0,0.0,433213995.9862511,0.0441467334608516,0.0006093844924005183,0.0,0.0003046922462002,0.00037350177059263705,0.5,0.10024375379696021
zksync,zk,PoS,341499332.0,,157455200.0,72250.6,1344675631.563741,0.0570982383355462,9.594783668775473e-07,0.0006546167774059913,0.0003277881278864,0.0004018140929465761,0.5,0.10026223050230915
tezos,xtz,PoS,767706212.0,28.4 kW,248699000.0,75360.2,845264024.4579347,0.0455973174902071,1.5155039610437198e-06,0.0006827908871161068,0.0003421531955385,0.0004194236577827784,0.3634,0.12759372255643087
optimism,op,PoS,1684245428.0,,226468800.0,99892.4,5518302997.570176,0.0646758333761716,1.3800365631116647e-06,0.0009050615631614165,0.0004532207998622,0.0005555770144468483,0.61315,0.07773257663988982
aptos,apt,PoS,3749534435.0,42.6 kW,370784500.0,140932.0,6872622702.439104,0.0570008130410771,2.2594741012239213e-06,0.0012768953015391037,0.0006395773878201,0.0007840241403340938,0.5,0.10051166191025614
cardano,ada,PoS,22740662984.0,59.7 kW,520517000.0,181619.7,22769089326.40798,0.049208471411176,3.1719207801049678e-06,0.0016455406976197142,0.0008243563091999,0.0010105372675399684,0.46585,0.10748948504735993
constellation-staked-rpl,xrp,Other1,124715733641.0,53.9 kW,466546500.0,192872.2,0.0,0.05,2.843032906847328e-06,0.0017474924501001215,0.0008751677415034,0.0010728249805698465,0.5,0.1007001341932028
